X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766674.11;6284832.41;0.53;0.17;19;4240;27.8;80.8
766678.12;6284830.26;0.56;0.15;24;4480;22.8;92.8
766679.46;6284829.65;0.45;0.31;20;3600;24.6;88
766682.54;6284827.93;0.55;0.21;19;4400;28.3;80.8
766685.37;6284826.44;0.59;0.14;17;4720;19.6;109.6
766687.2;6284825.41;0.59;0.24;23;4720;30.8;77.6
766691.26;6284823.23;0.6;0.25;21;4800;26.1;87.2
766694.51;6284821.61;0.35;0.2;37;2800;33.6;66.4
766696.03;6284820.72;0.55;0.17;32;4400;33.9;70.4
766699.86;6284818.75;0.29;0.21;20;2320;25.7;80
766700.64;6284818.47;0.52;0.15;23;4160;28.4;77.6
766704.77;6284816.22;0.49;0.04;38;3920;34.7;65.6
766707.01;6284815.02;0.26;0.42;24;2080;28.4;76.8
766709.71;6284813.63;0.51;0.27;28;4080;32.2;73.6
766711.6;6284812.67;0.23;0.46;26;1840;30.8;75.2
766714.09;6284811.47;0.47;0.11;37;3760;34.6;66.4
766718.29;6284809.16;0.51;0.15;33;4080;33.6;69.6
766719.59;6284808.48;0.33;0.47;26;2640;30.6;75.2
766723.1;6284806.77;0.53;0.14;15;4240;26.1;84
766726.28;6284804.92;0.49;0.18;43;3920;39;61.6
766728.92;6284803.63;0.26;0.18;28;2080;28.2;73.6
766731.2;6284802.44;0.47;0.17;34;3760;33.7;68.8
766733.45;6284801.18;0.57;0.19;24;4560;20.8;99.2
766735.97;6284799.88;0.46;0.05;47;3680;39.4;58.4
766740.11;6284797.59;0.49;0.02;28;3920;29.8;73.6
766742;6284796.6;0.44;0.25;23;3520;28.9;77.6
766745.12;6284794.93;0.49;0.45;26;3920;32.6;75.2
766746.16;6284794.3;0.24;0.21;19;1920;24.9;80.8
