X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766315.74;6284579.17;0.15;0.09;23;1200;24.2;50.8
766315.8;6284575.64;0.22;0.08;13;1760;24.7;58.8
766315.86;6284573.43;0.14;0.09;15;1120;21.4;57.2
766315.98;6284570.72;0.1;0.06;25;800;21.3;49.2
766316.04;6284567.9;0.15;0.1;16;1200;24.7;56.4
766316.09;6284565.02;0.13;0.11;9;1040;21.9;62
766316.27;6284561.01;0.13;0.12;28;1040;19.1;46.8
766316.28;6284559.03;0.17;0.15;22;1360;27;51.6
766316.4;6284555.86;0.23;0.18;28;1840;25.1;46.8
766316.46;6284552.45;0.28;0.14;8;2240;29.2;62.8
766316.49;6284550.01;0.14;0.13;20;1120;20.6;53.2
766316.63;6284546.93;0.18;0.09;20;1440;23.6;53.2
766316.74;6284543.78;0.14;0.08;25;1120;23.8;49.2
766316.85;6284541.12;0.2;0.12;17;1600;25.4;55.6
766316.93;6284538.69;0.16;0.18;19;1280;23;54
766317;6284535.61;0.11;0.26;21;880;23.9;52.4
766316.94;6284532.37;0.12;0.15;10;960;24.7;61.2
766312.05;6284531.16;0.22;0.08;20;1760;19.6;53.2
766311.9;6284534.48;0.17;0.22;10;1360;24.3;61.2
766311.85;6284536.71;0.23;0.09;24;1840;20.7;50
766311.79;6284539.72;0.18;0.24;16;1440;26.3;56.4
766311.71;6284542.71;0.22;0.09;26;1760;23.3;48.4
766311.68;6284545.09;0.22;0.07;32;1760;27.1;43.6
766311.61;6284548.22;0.16;0.11;28;1280;30;46.8
766311.53;6284550.86;0.19;0.23;14;1520;27.4;58
766311.44;6284554.17;0.18;0.08;22;1440;22.5;51.6
766311.36;6284557.27;0.15;0.09;20;1200;24.6;53.2
766311.33;6284560.06;0.16;0.07;19;1280;23.4;54
766311.24;6284563.18;0.15;0.07;21;1200;23;52.4
766311.11;6284566.15;0.15;0.06;16;1200;23.7;56.4
766311.04;6284568.91;0.18;0.07;21;1440;21.6;52.4
766310.98;6284571.81;0.2;0.06;19;1600;24.1;54
766310.92;6284574.54;0.15;0.1;22;1200;23.4;51.6
766310.84;6284577.94;0.17;0.07;11;1360;24.4;60.4
766310.79;6284580.58;0.21;0.12;11;1680;20;60.4
766310.72;6284583.52;0.14;0.08;19;1120;20.8;54
766310.63;6284586.7;0.15;0.06;16;1200;22.8;56.4
766310.53;6284589.2;0.17;0.11;23;1360;21.6;50.8
766310.42;6284592.76;0.23;0.06;16;1840;25.2;56.4
766310.41;6284595.07;0.17;0.07;25;1360;22.5;49.2
766310.31;6284598.11;0.19;0.1;22;1520;25.7;51.6
766310.22;6284601;0.16;0.09;21;1280;24.9;52.4
766310.14;6284604.04;0.16;0.12;22;1280;24;51.6
766310.03;6284606.73;0.22;0.08;19;1760;24.7;54
766309.9;6284610.04;0.16;0.07;20;1280;23.8;53.2
766309.83;6284612.66;0.18;0.09;17;1440;23.4;55.6
766309.79;6284615.3;0.22;0.07;13;1760;22.6;58.8
766309.76;6284618.44;0.16;0.08;20;1280;21.3;53.2
766309.67;6284620.76;0.19;0.22;10;1520;23.5;69.2
766309.59;6284623.94;0.18;0.08;15;1440;17.4;57.2
766309.58;6284627.02;0.18;0.15;25;1440;21.7;49.2
766309.53;6284630.12;0.17;0.08;23;1360;26.6;50.8
766309.38;6284633.21;0.17;0.08;19;1360;24.9;54
766309.39;6284636.53;0.21;0.06;21;1680;23.2;52.4
766309.27;6284639.22;0.15;0.09;22;1200;24.4;51.6
766309.24;6284641.08;0.23;0.12;20;1840;24.3;53.2
766304.35;6284636.54;0.16;0.24;12;1280;24.7;59.6
766304.4;6284634.25;0.17;0.26;18;1360;21.5;54.8
766304.47;6284631.38;0.15;0.1;7;1200;24.2;63.6
766304.58;6284628.09;0.14;0.31;11;1120;18.6;60.4
766304.62;6284625.25;0.19;0.22;13;1520;21.3;58.8
766304.68;6284622.91;0.17;0.21;14;1360;22.1;58
766304.76;6284619.15;0.1;0.21;25;800;22.1;49.2
766304.8;6284616.85;0.12;0.08;27;960;26;47.6
766304.93;6284614.34;0.12;0.14;20;960;26.1;53.2
