X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766722.16;6284801.51;1.25;0.35;64;10000;76.5;35
766719.54;6284802.89;1.16;0.28;72;9280;75.4;28.6
766716.96;6284804.16;1.61;0.37;75;12880;129.6;26.2
766714.45;6284805.34;1.38;0.52;66;11040;94.6;33.4
766711.72;6284806.93;1.46;0.33;76;11680;110.7;25.4
766709.44;6284808.1;1.05;0.36;61;8400;59.7;37.4
766706.62;6284809.69;1.42;0.35;63;11360;90.5;35.8
766704.24;6284810.95;1.29;0.35;58;10320;73.9;39.8
766701.55;6284812.34;1.35;0.35;76;10800;99.1;25.4
766699.05;6284813.62;1.39;0.42;76;11120;105.6;25.4
766697.1;6284814.66;1.41;0.5;71;11280;103.6;29.4
766693.21;6284816.6;1.3;0.31;53;10400;69.2;43.8
766691.55;6284817.55;1.57;0.38;71;12560;118.5;29.4
766689.28;6284818.78;1.36;0.69;60;10880;90.2;38.2
766686.41;6284820.25;1.5;0.21;77;12000;113.1;24.6
766683.51;6284821.81;1.04;0.45;53;8320;54.7;43.8
766680.92;6284823.12;1.33;0.42;70;10640;91.7;30.2
766678.85;6284824.17;1.38;0.45;73;11040;101.5;27.8
766676.25;6284825.6;1.68;0.33;76;13440;140.1;25.4
766673.69;6284827.04;1.54;0.52;73;12320;122.7;27.8
766670.87;6284828.42;1.67;0.44;68;13360;129.1;31.8
766668.29;6284829.79;1.31;0.41;62;10480;80.8;36.6
766665.94;6284831.09;1.45;0.37;60;11600;90.3;38.2
766663.06;6284832.63;1.44;0.41;63;11520;94;35.8
766660.9;6284833.73;1.03;0.43;47;8240;49.8;48.6
766658.44;6284834.88;1.3;0.38;57;10400;74.3;40.6
766655.95;6284836.17;1.12;0.42;60;8960;64.6;38.2
766652.92;6284835.48;1.6;0.71;81;12800;153.1;21.4
766653.03;6284832.29;1.36;0.71;73;10880;107.1;27.8
766655.44;6284830.98;1.56;0.46;72;12480;121.7;28.6
766657.42;6284829.86;1.09;0.5;62;8720;65.8;36.6
