X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766318.23;6284647.18;1.38;0.38;96;11040;120.4;8.8
766318.09;6284649.54;1.35;0.86;91;10800;126.1;12.8
766316.38;6284652;0.75;0.53;45;6000;35.1;49.6
766316.06;6284652.19;0.59;0.47;41;4720;27.9;52.8
766313.56;6284640.68;1.37;0.5;83;10960;104.5;19.2
766313.59;6284638.11;1.07;0.5;90;8560;84;13.6
766313.64;6284635.4;1.27;0.56;96;10160;113.1;8.8
766313.77;6284632.45;1.31;0.51;90;10480;107.5;13.6
766313.72;6284629.35;1.19;0.44;90;9520;92.9;13.6
766313.73;6284626.94;1.1;0.59;83;8800;80.6;19.2
766313.9;6284623.42;1.36;0.51;72;10880;90;28
766314.03;6284620.61;1.17;0.47;89;9360;90.5;14.4
766314.11;6284618;1.27;0.48;94;10160;107.5;10.4
766314.17;6284614.95;1.25;0.39;92;10000;99.9;12
766314.24;6284612.03;1.5;0.48;85;12000;122.4;17.6
766314.33;6284609.06;1.24;0.54;93;9920;104.7;11.2
766314.42;6284606.05;1.22;0.57;90;9760;99.6;13.6
766314.47;6284603.33;1.34;0.53;91;10720;113.3;12.8
766314.48;6284600.38;1.18;0.52;84;9440;87;18.4
766314.6;6284597.98;1.37;0.46;84;10960;104.7;18.4
766314.65;6284594.21;1.22;0.76;79;9760;91.4;22.4
766314.69;6284592.14;1.22;0.57;89;9760;98.3;14.4
766314.86;6284588.57;1.25;0.45;91;10000;100.4;12.8
766314.88;6284586.62;1.23;0.47;85;9840;91.6;17.6
766314.96;6284582.62;1.24;0.45;65;9920;71.2;33.6
766315;6284580.13;1.2;0.47;88;9600;92.3;15.2
766315.12;6284577.44;1.25;0.6;82;10000;93.6;20
766315.18;6284575.15;1.21;0.32;76;9680;76.5;24.8
766315.27;6284571.6;1.02;0.43;77;8160;65.4;24
766315.32;6284568.48;1.14;0.58;88;9120;89.4;15.2
766315.4;6284565.84;1.48;0.54;75;11840;107.3;25.6
