X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766299.5;6284545.89;0.79;0.33;63;6320;71.8;23.2
766299.46;6284548.4;0.86;0.37;46;6880;55.6;36.8
766299.39;6284551.84;0.8;0.26;51;6400;56.7;32.8
766299.36;6284554.15;0.86;0.31;49;6880;57.5;34.4
766299.28;6284557.44;0.85;0.31;61;6800;71;24.8
766299.23;6284560.15;0.71;0.31;60;5680;64.6;25.6
766299.07;6284563.11;0.79;0.31;55;6320;61.7;29.6
766299.03;6284565.77;0.87;0.28;46;6960;54.2;36.8
766299.01;6284568.53;0.82;0.39;57;6560;66.8;28
766298.97;6284571.68;0.78;0.34;57;6240;64.3;28
766298.87;6284574.38;0.81;0.34;64;6480;74.1;22.4
766298.82;6284577.13;0.78;0.32;64;6240;72.4;22.4
766298.82;6284579.8;0.78;0.35;51;6240;57.9;32.8
766298.62;6284583.08;0.8;0.5;53;6400;63.8;31.2
766298.65;6284585.05;0.87;0.41;38;6960;49.4;43.2
766298.46;6284588.72;0.77;0.43;60;6160;69.6;25.6
766298.43;6284591.9;0.88;1.15;34;7040;66.8;46.4
766298.34;6284594.48;0.85;1.2;38;6800;69.6;43.2
766298.32;6284597.2;0.75;0.5;59;6000;69.3;26.4
766298.21;6284600.2;0.87;0.38;49;6960;59.2;34.4
766298.14;6284602.88;0.77;0.97;60;6160;83.7;25.6
766298.07;6284605.82;0.83;0.98;46;6640;67.4;36.8
766297.97;6284608.84;0.76;0.39;54;6080;61.3;30.4
766297.95;6284612.32;0.85;0.62;45;6800;59.2;37.6
766297.93;6284614.66;0.82;0.97;45;6560;65.6;37.6
766297.75;6284617.05;0.78;0.34;60;6240;67.9;25.6
766297.7;6284620.25;0.74;0.95;56;5920;76.1;28.8
766297.55;6284623.09;0.76;1.07;57;6080;81.6;28
766297.53;6284626.45;0.88;1.01;21;7040;53.8;56.8
766297.51;6284628;0.74;1.11;49;5920;70.8;34.4
766297.43;6284632.52;0.79;0.84;48;6320;65.2;35.2
766297.42;6284634.19;0.7;0.34;56;5600;60.4;28.8
766297.33;6284637.17;0.83;1.04;57;6640;83.9;28
766324.23;6284652.23;0.24;0.53;16;1920;24.4;60.8
766324.29;6284650.16;0.9;0.56;44;7200;58.5;38.4
766324.46;6284647.47;0.87;0.39;60;6960;72.5;25.6
766324.55;6284644.53;0.78;0.46;60;6240;70.7;25.6
766324.6;6284641.25;0.81;0.43;50;6480;59.4;33.6
766324.65;6284638.73;0.78;0.41;48;6240;56;35.2
766324.72;6284635.04;0.87;0.27;31;6960;43.3;48.8
766324.84;6284632.87;0.74;0.31;54;5920;59;30.4
766324.92;6284630.02;0.74;0.36;58;5920;64.5;27.2
766324.98;6284627.15;0.74;0.35;49;5920;54.6;34.4
766325.02;6284624;0.71;0.37;60;5680;66;25.6
766325.06;6284621.23;0.74;0.38;51;5920;57.2;32.8
766325.21;6284618.12;0.73;0.39;61;5840;68.4;24.8
766325.28;6284616.4;0.72;0.52;55;5760;63.8;29.6
766325.26;6284612.72;0.76;0.32;54;6080;59.8;30.4
766325.38;6284609.82;0.7;0.26;50;5600;52.8;33.6
766325.46;6284606.78;0.66;0.28;59;5280;61.2;26.4
766325.52;6284604.06;0.76;0.36;53;6080;59.5;31.2
766325.57;6284601.09;0.78;0.31;59;6240;66;26.4
766325.6;6284598.35;0.73;0.26;54;5840;57.6;30.4
766325.61;6284595.85;0.7;0.3;54;5600;57.5;30.4
766325.7;6284592.27;0.78;0.31;52;6240;58.1;32
766325.82;6284589.51;0.72;0.38;57;5760;63.1;28
766325.95;6284586.48;0.69;0.37;58;5520;62.9;27.2
766326.03;6284583.26;0.96;0.4;17;7680;41.4;60
766326.16;6284580.63;0.83;0.32;60;6640;69.3;25.6
766326.17;6284577.48;0.73;0.31;52;5840;56.6;32
766326.22;6284574.84;0.71;0.39;58;5680;64.1;27.2
766326.36;6284571.94;0.7;0.33;51;5600;55;32.8
766326.35;6284569.04;0.73;0.31;60;5840;65.4;25.6
766326.37;6284566.53;0.64;0.33;44;5120;46.9;38.4
766326.38;6284562.8;0.84;0.45;4;6720;32.6;70.4
766326.45;6284559.69;0.77;0.33;7;6160;29.7;68
766326.59;6284557.06;0.74;0.41;25;5920;36.8;53.6
766326.65;6284554.88;0.78;0.73;-14;6240;28.7;84.8
766326.7;6284551.63;0.72;0.35;56;5760;61.3;28.8
766326.81;6284548.78;0.71;0.29;55;5680;58.7;29.6
766326.87;6284545.91;0.73;0.3;62;5840;67.5;24
766326.92;6284543.07;0.77;0.31;63;6160;70.5;23.2
766327.04;6284540.03;0.75;0.31;60;6000;66.1;25.6
